target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS11200	VNG_RS02325	0.998387						0	1.000000	0.119289
VNG_RS07545	VNG_RS01005	0.998379						0	1.000000	0.118733
VNG_RS07845	VNG_RS06030	0.998372						0	1.000000	0.118588
VNG_RS09335	VNG_RS09565	0.998364						0	1.000000	0.118372
VNG_RS12310	VNG_RS03875	0.998357						0	1.000000	0.117864
VNG_RS01015	VNG_RS03275	0.998349						0	1.000000	0.117681
VNG_RS04400	VNG_RS05030	0.998342						0	-1.000000	0.117641
VNG_RS02745	VNG_RS07825	0.998334						0	-1.000000	0.117411
VNG_RS03855	VNG_RS07825	0.998327						0	-1.000000	0.117252
VNG_RS08815	VNG_RS01270	0.998319						0	1.000000	0.116435
VNG_RS05610	VNG_RS03570	0.998311						1	1.000000	0.116087
VNG_RS12600	VNG_RS07155	0.998304						0	1.000000	0.115454
VNG_RS00780	VNG_RS05825	0.998296						0	1.000000	0.115377
VNG_RS03855	VNG_RS12735	0.998289						0	1.000000	0.115301
VNG_RS13205	VNG_RS01250	0.998281						0	1.000000	0.115244
VNG_RS07820	VNG_RS02325	0.998274						0	-1.000000	0.114872
VNG_RS05705	VNG_RS00725	0.998266						0	-1.000000	0.114849
VNG_RS04185	VNG_RS07115	0.998259						0	1.000000	0.114583
VNG_RS05860	VNG_RS07890	0.998251						1	1.000000	0.114560
VNG_RS11765	VNG_RS00150	0.998244						0	1.000000	0.113812
VNG_RS05675	VNG_RS05700	0.998236						1	1.000000	0.113727
VNG_RS08035	VNG_RS06270	0.998229						1	1.000000	0.113715
VNG_RS04620	VNG_RS07420	0.998221						0	1.000000	0.113675
VNG_RS01300	VNG_RS06890	0.998213						0	-1.000000	0.113669
VNG_RS04140	VNG_RS05030	0.998206						0	-1.000000	0.113660
VNG_RS02500	VNG_RS00590	0.998198						0	-1.000000	0.113600
VNG_RS12435	VNG_RS05700	0.998191						0	1.000000	0.113547
VNG_RS00925	VNG_RS01270	0.998183						0	1.000000	0.113477
VNG_RS10295	VNG_RS03275	0.998176						0	1.000000	0.113347
VNG_RS05380	VNG_RS12745	0.998168						0	1.000000	0.113236
VNG_RS08815	VNG_RS08105	0.998161						0	1.000000	0.112751
VNG_RS13265	VNG_RS12735	0.998153						0	1.000000	0.111913
