target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS03175	HVO_RS01240	0.500049						1.000000	0.461127
HVO_RS16755	HVO_RS06620	0.500048						1.000000	0.461066
HVO_RS04550	HVO_RS07610	0.500048						1.000000	0.460982
HVO_RS11915	HVO_RS06620	0.500047						1.000000	0.460972
HVO_RS07610	HVO_RS00550	0.500047	0.000000	0.354839	0.031977	0.106015	0.058667	1.000000	0.460930
HVO_RS17115	HVO_RS06620	0.500046						1.000000	0.460612
HVO_RS03330	HVO_RS03020	0.500046						1.000000	0.460504
HVO_RS14875	HVO_RS00550	0.500045	0.000000	0.343750	0.031977	0.104326	0.058511	1.000000	0.460283
HVO_RS04455	HVO_RS07610	0.500045						1.000000	0.460086
HVO_RS12550	HVO_RS06620	0.500045						1.000000	0.460067
HVO_RS01475	HVO_RS01980	0.500044						1.000000	0.459638
HVO_RS18105	HVO_RS18670	0.500044	0.000000	0.333333	0.031977	0.102714	0.058355	1.000000	0.459527
HVO_RS08420	HVO_RS05530	0.500043						1.000000	0.459503
HVO_RS01640	HVO_RS00490	0.500043						1.000000	0.459091
HVO_RS13700	HVO_RS10345	0.500042						1.000000	0.459018
HVO_RS01145	HVO_RS02040	0.500042	0.000000	0.323529	0.031977	0.101173	0.058201	1.000000	0.458956
HVO_RS15510	HVO_RS02965	0.500041						1.000000	0.458898
HVO_RS15190	HVO_RS05530	0.500041						1.000000	0.458762
HVO_RS00405	HVO_RS00990	0.500040						1.000000	0.458497
HVO_RS02520	HVO_RS02530	0.500040						1.000000	0.458347
HVO_RS10240	HVO_RS06620	0.500039	0.000000	0.314286	0.031977	0.099698	0.058047	1.000000	0.458333
HVO_RS14880	HVO_RS07610	0.500039						1.000000	0.458325
HVO_RS15900	HVO_RS05530	0.500038	0.000000	0.305556	0.031977	0.098286	0.057895	1.000000	0.457942
HVO_RS01075	HVO_RS00550	0.500038	0.000000	0.297297	0.031977	0.096930	0.057743	1.000000	0.457762
HVO_RS01375	HVO_RS18865	0.500037						1.000000	0.457750
